Select,Prod Code,Ingr Prod Code,Ingredient Description,Pack Size,Recipe Weight,Cost,Recipe Use,Total Cost,Unit Cost Excl
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,2520,SMARTBAKER MIX,12.5K,0.160,322.41,0.160,51.59,
BAKERY,,15732,WC MILLING CAKE FLOUR,12.5K,8.000,11.40,8.000,91.17,
BAKERY,,28222,MILK FULL CREAM,20L,1.400,13.80,1.400,19.32,
BAKERY,,29322,OIL VEGETABLE CHIPKINS,20LT,1.400,43.50,1.400,60.90,
BAKERY,,27492,SUGAR WHITE HULETS,P/KG,1.400,23.44,1.400,32.82,
BAKERY,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.933,59.00,0.933,55.07,
BAKERY,,28313,HERCULES BAKING POWDER,P/KG,0.400,53.05,0.400,21.22,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,13.69333333,,,332.08,
BAKERY,,,,,Scale,,0.250,,
BAKERY,,,,,Yield,54.77,54.77,,
BAKERY,,,,,Cost excl per Each/Kg,,,,6.06
BAKERY,,,,,,,,,
BAKERY,26739,PORTUGUESE  BREAD,Vat,,,,,,5.09
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,28483,WC MILLING CRISPY MIX,12.5K,13.500,12.66,13.500,170.88,
BAKERY,,28779,YEAST WET,P/KG,0.500,34.25,0.500,17.13,
BAKERY,,29030,SPAR WATER,P/KG,6.500,3.20,6.500,20.80,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,20.5,,,208.80,
BAKERY,,,,,Scale,,0.500,,
BAKERY,,,,,Yield,41.00,41.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,5.09
BAKERY,,,,,,,,,
BAKERY,26908,MILK TART,Vat,,,,,,21.18
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,27492,SUGAR WHITE HULETS,P/KG,1.000,23.44,1.000,23.44,
BAKERY,,27498,MARG YELLOW WOODEN SPOON,P/KG,1.000,36.36,1.000,36.36,
BAKERY,,28293,BAVARIAN SUPREME,P/KG,0.600,77.42,0.600,46.45,
BAKERY,,28222,MILK FULL CREAM,20L,10.000,13.80,10.000,138.00,
BAKERY,,28888,CINNAMON GROUND,P/KG,0.010,96.60,0.100,9.66,
BAKERY,,29737,TART BASE SWEET,EA,,14.24,40.000,569.78,
BAKERY,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.600,59.00,0.400,23.60,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,13.21,,,847.29,
BAKERY,,,,,Scale,,0.315,,
BAKERY,,,,,Yield,41.94,40.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,21.18
BAKERY,,,,,,,,,
BAKERY,28383,BREAD DOUGH,Vat,,,,,,5.81
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,15736,W/CAPE MILL  MIX WHT BRD,9.5KG,47.500,12.29,47.500,584.00,
BAKERY,,28779,YEAST WET,P/KG,1.000,34.25,1.000,34.25,
BAKERY,,29030,SPAR WATER,P/KG,24.700,3.20,24.700,79.04,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,73.2,,,697.29,
BAKERY,,,,,Scale,,0.600,,
BAKERY,,,,,Yield,122.00,120.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,5.81
BAKERY,,,,,,,,,
BAKERY,32161,KOEKSISTERS,Vat,,,,,,0.87
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,29030,SPAR WATER,P/KG,3.000,3.20,3.000,9.60,
BAKERY,,27499,MIXED SPICE,P/KG,0.200,76.00,0.200,15.20,
BAKERY,,29322,OIL VEGETABLE CHIPKINS,20LT,0.700,43.50,0.700,30.45,
BAKERY,,27492,SUGAR WHITE HULETS,P/KG,0.300,23.44,0.300,7.03,
BAKERY,,26370,GOLDEN YOLK LOOSE BAKERY EGGS,30'S,0.400,59.00,0.266,15.69,
BAKERY,,28779,YEAST WET,P/KG,0.250,34.25,0.250,8.56,
BAKERY,,28833,DESI COCONUT,P/KG,2.000,82.40,2.000,164.80,
BAKERY,,28667,WC MILLING SOFT ROLL MIX,12.5K,6.000,13.49,6.000,80.97,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,12.85,,,332.30,
BAKERY,,,,,Scale,,0.033,,
BAKERY,,,,,Yield,389.39,380.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,0.87
BAKERY,,,,,,,,,
BAKERY,26808,SMALL MUFFIN,Vat,,,,,,5.64
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,27267,ASS MUFFIN BATTER,P/KG,0.850,53.05,0.850,45.09,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,0.85,,,45.09,
BAKERY,,,,,Scale,,0.070,,
BAKERY,,,,,Yield,12.14,8.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,5.64
BAKERY,,,,,,,,,
BAKERY,26799,APPLE SLICE,Vat,,,,,,17.59
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,27492,SUGAR WHITE HULETS,P/KG,0.500,23.44,0.500,11.72,
BAKERY,,28058,PIE APPLES BAKELS CHOICE GRADE,KG,2.700,57.11,2.700,154.20,
BAKERY,,28291,INSTANT THICKENER,P/KG,0.300,117.29,0.300,35.19,
BAKERY,,28888,CINNAMON GROUND,P/KG,0.050,96.60,0.050,4.83,
BAKERY,,28564,PUFF PASTRY,EAC,2.000,75.49,1.000,75.49,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,5.55,,,281.43,
BAKERY,,,,,Scale,,,,
BAKERY,,,,,Yield,,16.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,17.59
BAKERY,,,,,,,,,
HMR,28820,FOOTLONG CHEESE GRILLER + CHIPS,Vat,,,,,,18.65
HMR,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
HMR,,22585,SPAR SC CHS GRILLR F/LONG,1'S,1.000,9.80,1.000,9.80,
HMR,,26734,SOFT HOTDOG  ROLLS,EACH,1.000,0.87,1.000,0.87,
HMR,,28442,GARLIC MAYO,5LT,0.020,71.00,0.020,1.42,
HMR,,26221,SPAR SC RUSTIC ST/H CHIPS,2.5KG,0.060,109.47,0.060,6.57,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,,,,-,
HMR,,,,,2.08,,,18.65,
HMR,,,,,Scale,,,,
HMR,,,,,Yield,,1.00,,
HMR,,,,,Cost excl per Each/Kg,,,,18.65
HMR,,,,,,,,,
BAKERY,27312,BUTTER BREAD,Vat,,,,,,7.45
BAKERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BAKERY,,27987,10% BUTTER BREAD,P/KG,5.000,33.46,5.000,167.30,
BAKERY,,15732,WC MILLING CAKE FLOUR,12.5K,25.000,11.40,25.000,284.92,
BAKERY,,28779,YEAST WET,P/KG,0.800,34.25,0.800,27.40,
BAKERY,,29030,SPAR WATER,P/KG,13.000,3.20,13.000,41.60,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
