ITEM,CLEANING FREQUENCY,CLEANING EQUIPMENT,CLEANING CHEMICAL,METHOD,RESPONSIBLE STAFF MEMEBER,RESPONSIBLE MANAGER/SUPERVISOR ,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
SERVING COUNTER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,SIWE/YABULELA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BILTONG MACHINE,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",FATIMA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BILTONG COUNTER,Daily or when visibly soiled,Brush and Cloth,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,FATIMA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BILTONG SLICER,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,FATIMA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CUPBOARDS,Daily or when visibly soiled,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize","THANDIWE,LINDELWA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UP RIGHT 16 DOORS FRIDGE,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, scrub,whipe & sanitize","SIWAPHIWE,THATO",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ISLAND FREEZER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, scrub,whipe & sanitize","SIWAPHIWE,SIWE,AYABULELA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DISPLAY COUNTER,Daily or when visibly soiled,Scrapper and Cloth,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,LINDA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLONY SLICER,Daily or when visibly soiled,Brush and Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",THATO,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UTENSILS,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,SINAZO,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CUTTING BOARDS,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,LUKHANYO,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SANITIZER BUCKETS,Daily or when visibly soiled,Brush and Scrapper,DEGREASER & SANITISER,WASH SCRUB & SANITIZER,LINDA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VACUUM MACHINE,Daily or when visibly soiled,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,FATIMA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GRAB & GO FRIDGE,Daily,Brush and Scrapper,Residue D,WASH & SOAK RECIHER,"THANDIWE,LINDELWA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MOPS,BROOMS,BINS",Daily,WASH,Residue D,WASH,"THANDIWE,LINDELWA",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BLINDS,Daily,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize",LINDA,CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WALLS,Daily,Cloth,all purpose & sanitiser,"Wash, whipe & sanitize","ASAVELA,PAMELA,THATO",CLIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
